content_id,source_type,source_url,status,error
105,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/railways/railways-1666873279207-nps-s2-form-pdf-33.pdf,error,'category' is an invalid keyword argument for ContentChunk
106,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/railways/railways-1670392128054-1669802888669-reimbursement-claim-form-pdf-2.pdf,error,'category' is an invalid keyword argument for ContentChunk
107,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/rbi/SSFM06052019_APP.pdf,error,'category' is an invalid keyword argument for ContentChunk
108,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/rbi/a1-fc1.pdf,error,'category' is an invalid keyword argument for ContentChunk
109,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/rbi/rbi-a1-fc1-pdf-59.pdf,error,'category' is an invalid keyword argument for ContentChunk
110,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/rbi/rbi-ssfm06052019-app-pdf-58.pdf,error,'category' is an invalid keyword argument for ContentChunk
19,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/aadhaar/aadhaar-form-6-english-pdf-37.pdf,error,'category' is an invalid keyword argument for ContentChunk
22,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/aadhaar/aadhaar-list-of-supporting-document-for-aadhaar-enrolment-and-update-pdf-44.pdf,error,'category' is an invalid keyword argument for ContentChunk
24,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/education/CHAPTER_4_AFFILIATION_APPLICATION_FORMS_AND_OTHER_FORMATS.pdf,error,'category' is an invalid keyword argument for ContentChunk
32,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/epfo/epfo-form10d-pdf-50.pdf,error,'category' is an invalid keyword argument for ContentChunk
33,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/epfo/epfo-form19-instructions-eng-pdf-3.pdf,error,'category' is an invalid keyword argument for ContentChunk
37,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/other/FAQ_for_Mera_Ration_2.pdf,error,'category' is an invalid keyword argument for ContentChunk
40,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/other/FORM7.pdf,error,'category' is an invalid keyword argument for ContentChunk
46,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/other/PL_Forms.pdf,error,'category' is an invalid keyword argument for ContentChunk
50,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/other/other-faq-for-mera-ration-2-pdf-9.pdf,error,'category' is an invalid keyword argument for ContentChunk
55,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/other/other-forms-ministry-home-affairs-8.pdf,error,'category' is an invalid keyword argument for ContentChunk
57,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/other/other-pl-forms-pdf-4.pdf,error,'category' is an invalid keyword argument for ContentChunk
69,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/parivahan/parivahan-form-3-pdf-15.pdf,error,'category' is an invalid keyword argument for ContentChunk
71,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/passport/AnnexureA.pdf,error,'category' is an invalid keyword argument for ContentChunk
82,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/passport/Filling_Passport_Application_Form_Online.pdf,error,'category' is an invalid keyword argument for ContentChunk
76,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/passport/AnnexureF.pdf,error,'category' is an invalid keyword argument for ContentChunk
84,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/passport/passport-annexurea-pdf-17.pdf,error,'category' is an invalid keyword argument for ContentChunk
87,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/passport/passport-annexured-pdf-20.pdf,error,'category' is an invalid keyword argument for ContentChunk
90,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/passport/passport-annexureg-pdf-23.pdf,error,'category' is an invalid keyword argument for ContentChunk
92,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/passport/passport-annexurei-pdf-25.pdf,error,'category' is an invalid keyword argument for ContentChunk
95,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/passport/passport-filling-passport-application-form-online-pdf-28.pdf,error,'category' is an invalid keyword argument for ContentChunk
98,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/railways/1592204046208-Common-nomination-form.pdf,error,'category' is an invalid keyword argument for ContentChunk
103,pdf,file:///Volumes/Space/MINOR_PROJECTS/gov-chatbot/data/docs/railways/railways-1592204046208-common-nomination-form-pdf-31.pdf,error,'category' is an invalid keyword argument for ContentChunk
